trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.06042409838076848}",30,22,12.333648566241056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.05990611626244768}",30,12,14.897300793449766,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.05939925919209294}",25,8,26.994000729304453,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.058903148346648025}",25,0,30.98392381653069,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.05841742244489067}",25,0,-23.249881946676496,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.057941736725550835}",30,18,9.05990571638468,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.05747576199686517}",20,0,27.79498881729436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.05701918375176116}",20,14,11.115228141833681,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.05657170134340214}",20,6,21.177422659797934,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.05613302721630373}",20,0,23.35493470028667,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.05570288618866551}",30,16,20.696546277693855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.05528101478194918}",25,8,17.91953423021415,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.05486716059408453}",20,0,17.368310681094133,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.05446108171299967}",25,0,34.73068406711829,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.05406254616745647}",25,0,36.38844230556083,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.05367133141242944}",30,0,34.05669478755157,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.05328722384649869}",20,15,8.918695696196488,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.05291001835893829}",25,12,19.30660346535892,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.05253951790437298}",20,12,14.48232864822563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.052175533103048816}",25,0,41.23427187005542,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.051817881864921735}",25,19,10.342995063447603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.051466389035910734}",30,0,23.83642544112888,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.05112088606479389}",20,4,22.796586804448008,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
